Mode	Mode Description	Data Output	Selectable Range	Selectable Bandwidth	Slot Occupancy
116	EMG (1259Hz) plus Acc (963Hz, 8g) and Gyro (74Hz, 2000dps)	7 Channels	1	0	2
117	EMG (1259Hz) plus Acc (963Hz, 16g) and Gyro (74Hz, 2000dps)	7 Channels	1	0	2
118	EMG (1259Hz) plus Acc (296Hz, 2g) and Gyro (741Hz, 250dps)	7 Channels	1	0	2
119	EMG (1259Hz) plus Acc (296Hz, 4g) and Gyro (741Hz, 250dps)	7 Channels	1	0	2
120	EMG (1259Hz) plus Acc (296Hz, 8g) and Gyro (741Hz, 250dps)	7 Channels	1	0	2
121	EMG (1259Hz) plus Acc (296Hz, 16g) and Gyro (741Hz, 250dps)	7 Channels	1	0	2
122	EMG (1259Hz) plus Acc (296Hz, 2g) and Gyro (741Hz, 500dps)	7 Channels	1	0	2
123	EMG (1259Hz) plus Acc (296Hz, 4g) and Gyro (741Hz, 500dps)	7 Channels	1	0	2
124	EMG (1259Hz) plus Acc (296Hz, 8g) and Gyro (741Hz, 500dps)	7 Channels	1	0	2
125	EMG (1259Hz) plus Acc (296Hz, 16g) and Gyro (741Hz, 500dps)	7 Channels	1	0	2
126	EMG (1259Hz) plus Acc (296Hz, 2g) and Gyro (741Hz, 1000dps)	7 Channels	1	0	2
127	EMG (1259Hz) plus Acc (296Hz, 4g) and Gyro (741Hz, 1000dps)	7 Channels	1	0	2
128	EMG (1259Hz) plus Acc (296Hz, 8g) and Gyro (741Hz, 1000dps)	7 Channels	1	0	2
129	EMG (1259Hz) plus Acc (296Hz, 16g) and Gyro (741Hz, 1000dps)	7 Channels	1	0	2
130	EMG (1259Hz) plus Acc (296Hz, 2g) and Gyro (741Hz, 2000dps)	7 Channels	1	0	2
131	EMG (1259Hz) plus Acc (296Hz, 4g) and Gyro (741Hz, 2000dps)	7 Channels	1	0	2
132	EMG (1259Hz) plus Acc (296Hz, 8g) and Gyro (741Hz, 2000dps)	7 Channels	1	0	2
133	EMG (1259Hz) plus Acc (296Hz, 16g) and Gyro (741Hz, 2000dps)	7 Channels	1	0	2
134	EMG (2370Hz) plus Orientation (222Hz, 32bits)	5 Channels	1	1	2
153	EMG (4000Hz) plus Acc (74Hz, 2g) and Gyro (74Hz, 250dps)	7 Channels	1	1	2
154	EMG (4000Hz) plus Acc (74Hz, 4g) and Gyro (74Hz, 250dps)	7 Channels	1	1	2
155	EMG (4000Hz) plus Acc (74Hz, 8g) and Gyro (74Hz, 250dps)	7 Channels	1	1	2
156	EMG (4000Hz) plus Acc (74Hz, 16g) and Gyro (74Hz, 250dps)	7 Channels	1	1	2
157	EMG (4000Hz) plus Acc (74Hz, 2g) and Gyro (74Hz, 500dps)	7 Channels	1	1	2
158	EMG (4000Hz) plus Acc (74Hz, 4g) and Gyro (74Hz, 500dps)	7 Channels	1	1	2
159	EMG (4000Hz) plus Acc (74Hz, 8g) and Gyro (74Hz, 500dps)	7 Channels	1	1	2
161	EMG (4000Hz) plus Acc (74Hz, 2g) and Gyro (74Hz, 1000dps)Mode #	7 Channels	1	1	2
162	EMG (4000Hz) plus Acc (74Hz, 4g) and Gyro (74Hz, 1000dps)	7 Channels	1	1	2
163	EMG (4000Hz) plus Acc (74Hz, 8g) and Gyro (74Hz, 1000dps)	7 Channels	1	1	2
164	EMG (4000Hz) plus Acc (74Hz, 16g) and Gyro (74Hz, 1000dps)	7 Channels	1	1	2
165	EMG (4000Hz) plus Acc (74Hz, 2g) and Gyro (74Hz, 2000dps)	7 Channels	1	1	2
166	EMG (4000Hz) plus Acc (74Hz, 4g) and Gyro (74Hz, 2000dps)	7 Channels	1	1	2
167	EMG (4000Hz) plus Acc (74Hz, 8g) and Gyro (74Hz, 2000dps)	7 Channels	1	1	2
168	EMG (4000Hz) plus Acc (74Hz, 16g) and Gyro (74Hz, 2000dps)	7 Channels	1	1	2
169	EMG (4000Hz) plus Orientation (74Hz, 16bits)	5 Channels	1	1	2
170	EMG (3740Hz) plus Orientation (74Hz, 32bits)	5 Channels	1	1	2
